,kyon_nums,captured_kyons,dead_kyons,born_kyons,increase
0,250,0,0,0,0
1,249,1,1,0,-1
2,249,0,0,0,0
3,248,1,1,0,-1
4,248,0,0,0,0
5,248,0,0,0,0
6,248,0,0,0,0
7,247,1,1,0,-1
8,247,0,0,0,0
9,247,0,0,0,0
10,247,0,0,0,0
11,247,0,0,0,0
12,247,0,0,0,0
13,247,0,0,0,0
14,247,0,0,0,0
15,247,0,0,0,0
16,247,0,0,0,0
17,247,0,0,0,0
18,247,0,0,0,0
19,246,1,1,0,-1
20,246,0,0,0,0
21,246,0,0,0,0
22,246,0,0,0,0
23,246,0,0,0,0
24,246,0,0,0,0
25,246,0,0,0,0
26,246,0,0,0,0
27,246,0,0,0,0
28,246,0,0,0,0
29,246,0,0,0,0
30,246,0,0,0,0
31,246,0,0,0,0
32,246,0,0,0,0
33,246,0,0,0,0
34,246,0,0,0,0
35,245,1,1,0,-1
36,245,0,0,0,0
37,245,0,0,0,0
38,245,0,0,0,0
39,245,0,0,0,0
40,245,0,0,0,0
41,245,0,0,0,0
42,245,0,0,0,0
43,245,0,0,0,0
44,245,0,0,0,0
45,245,0,0,0,0
46,245,0,0,0,0
47,245,0,0,0,0
48,244,1,1,0,-1
49,244,0,0,0,0
50,244,0,0,0,0
51,244,0,0,0,0
52,244,0,0,0,0
53,244,0,0,0,0
54,244,0,0,0,0
55,244,0,0,0,0
56,244,0,0,0,0
57,244,0,0,0,0
58,244,0,0,0,0
59,244,0,0,0,0
60,244,0,0,0,0
61,244,0,0,0,0
62,244,0,0,0,0
63,244,0,0,0,0
64,242,2,2,0,-2
65,242,0,0,0,0
66,242,0,0,0,0
67,242,0,0,0,0
68,242,0,0,0,0
69,242,0,0,0,0
70,242,0,0,0,0
71,242,0,0,0,0
72,242,0,0,0,0
73,242,0,0,0,0
74,242,0,0,0,0
75,242,0,0,0,0
76,242,0,0,0,0
77,242,0,0,0,0
78,242,0,0,0,0
79,242,0,0,0,0
80,242,0,0,0,0
81,242,0,0,0,0
82,242,0,0,0,0
83,242,0,0,0,0
84,242,0,0,0,0
85,242,0,0,0,0
86,242,0,0,0,0
87,242,0,0,0,0
88,242,0,0,0,0
89,242,0,0,0,0
90,242,0,0,0,0
91,242,0,0,0,0
92,242,0,0,0,0
93,242,0,0,0,0
94,242,0,0,0,0
95,242,0,0,0,0
96,242,0,0,0,0
97,242,0,0,0,0
98,241,1,1,0,-1
99,241,0,0,0,0
100,241,0,0,0,0
101,241,0,0,0,0
102,241,0,0,0,0
103,241,0,0,0,0
104,241,0,0,0,0
105,241,0,0,0,0
106,241,0,0,0,0
107,241,0,0,0,0
108,241,0,0,0,0
109,241,0,0,0,0
110,241,0,0,0,0
111,241,0,0,0,0
112,241,0,0,0,0
113,240,1,1,0,-1
114,239,1,1,0,-1
115,239,0,0,0,0
116,239,0,0,0,0
117,238,1,1,0,-1
118,238,0,0,0,0
119,238,0,0,0,0
120,238,0,0,0,0
121,238,0,0,0,0
122,238,0,0,0,0
123,238,0,0,0,0
124,238,0,0,0,0
125,238,0,0,0,0
126,238,0,0,0,0
127,238,0,0,0,0
128,238,0,0,0,0
129,238,0,0,0,0
130,238,0,0,0,0
131,237,1,1,0,-1
132,237,0,0,0,0
133,237,0,0,0,0
134,237,0,0,0,0
135,237,0,0,0,0
136,237,0,0,0,0
137,237,0,0,0,0
138,237,0,0,0,0
139,237,0,0,0,0
140,237,0,0,0,0
141,237,0,0,0,0
142,237,0,0,0,0
143,237,0,0,0,0
144,237,0,0,0,0
145,237,0,0,0,0
146,237,0,0,0,0
147,237,0,0,0,0
148,237,0,0,0,0
149,237,0,0,0,0
150,237,0,0,0,0
151,237,0,0,0,0
152,237,0,0,0,0
153,237,0,0,0,0
154,237,0,0,0,0
155,237,0,0,0,0
156,236,1,1,0,-1
157,236,0,0,0,0
158,236,0,0,0,0
159,235,1,1,0,-1
160,235,0,0,0,0
161,234,1,1,0,-1
162,234,0,0,0,0
163,234,0,0,0,0
164,234,0,0,0,0
165,234,0,0,0,0
166,233,1,1,0,-1
167,233,0,0,0,0
168,233,0,0,0,0
169,233,0,0,0,0
170,233,0,0,0,0
171,233,0,0,0,0
172,233,0,0,0,0
173,232,1,1,0,-1
174,232,0,0,0,0
175,232,0,0,0,0
176,232,0,0,0,0
177,232,0,0,0,0
178,232,0,0,0,0
179,232,0,0,0,0
180,232,0,0,0,0
181,232,0,0,0,0
182,232,0,0,0,0
183,232,0,0,0,0
184,232,0,0,0,0
185,232,0,0,0,0
186,232,0,0,0,0
187,232,0,0,0,0
188,232,0,0,0,0
189,232,0,0,0,0
190,232,0,0,0,0
191,232,0,0,0,0
192,232,0,0,0,0
193,232,0,0,0,0
194,232,0,0,0,0
195,232,0,0,0,0
196,233,0,1,2,1
197,232,1,1,0,-1
198,233,0,1,2,1
199,233,0,0,0,0
200,233,0,0,0,0
201,233,0,0,0,0
202,233,0,0,0,0
203,232,1,1,0,-1
204,232,0,0,0,0
205,232,0,0,0,0
206,232,0,0,0,0
207,231,1,1,0,-1
208,231,0,0,0,0
209,231,0,0,0,0
210,231,0,0,0,0
211,231,0,0,0,0
212,231,0,0,0,0
213,231,0,0,0,0
214,231,0,0,0,0
215,231,0,0,0,0
216,231,0,0,0,0
217,231,0,0,0,0
218,231,0,0,0,0
219,231,0,0,0,0
220,231,0,0,0,0
221,231,0,0,0,0
222,231,0,0,0,0
223,231,0,0,0,0
224,230,1,1,0,-1
225,230,0,0,0,0
226,230,0,0,0,0
227,230,0,0,0,0
228,230,0,0,0,0
229,230,0,0,0,0
230,230,0,0,0,0
231,230,0,0,0,0
232,230,0,0,0,0
233,231,0,1,2,1
234,232,0,1,2,1
235,232,0,0,0,0
236,232,0,0,0,0
237,232,0,0,0,0
238,232,0,0,0,0
239,232,0,0,0,0
240,232,0,0,0,0
241,233,0,1,2,1
242,232,1,1,0,-1
243,232,0,0,0,0
244,232,0,0,0,0
245,232,0,0,0,0
246,232,0,0,0,0
247,231,1,1,0,-1
248,232,0,1,2,1
249,231,1,1,0,-1
250,231,0,0,0,0
251,231,0,0,0,0
252,231,0,0,0,0
253,231,0,0,0,0
254,231,0,0,0,0
255,231,0,0,0,0
256,232,0,1,2,1
257,232,0,0,0,0
258,232,0,0,0,0
259,232,0,0,0,0
260,232,0,0,0,0
261,231,1,1,0,-1
262,231,0,0,0,0
263,233,0,2,4,2
264,234,0,1,2,1
265,234,0,0,0,0
266,234,0,0,0,0
267,234,0,0,0,0
268,234,0,0,0,0
269,234,0,0,0,0
270,234,0,0,0,0
271,234,0,0,0,0
272,234,0,0,0,0
273,234,0,0,0,0
274,234,0,0,0,0
275,234,0,0,0,0
276,234,0,0,0,0
277,234,0,0,0,0
278,234,0,0,0,0
279,234,0,0,0,0
280,234,0,0,0,0
281,234,0,0,0,0
282,234,0,0,0,0
283,234,0,0,0,0
284,235,0,1,2,1
285,235,0,0,0,0
286,235,0,0,0,0
287,235,0,0,0,0
288,235,0,0,0,0
289,235,0,0,0,0
290,235,0,0,0,0
291,234,0,1,0,-1
292,234,0,0,0,0
293,235,0,1,2,1
294,235,0,0,0,0
295,235,0,0,0,0
296,235,0,0,0,0
297,235,0,0,0,0
298,235,0,0,0,0
299,235,0,0,0,0
300,235,0,0,0,0
301,235,0,0,0,0
302,235,0,0,0,0
303,235,0,0,0,0
304,235,0,0,0,0
305,236,0,1,2,1
306,236,1,2,2,0
307,236,0,0,0,0
308,237,0,1,2,1
309,237,0,0,0,0
310,238,0,1,2,1
311,238,0,0,0,0
312,238,0,0,0,0
313,238,0,0,0,0
314,238,0,0,0,0
315,238,0,0,0,0
316,238,0,0,0,0
317,237,1,1,0,-1
318,237,0,0,0,0
319,237,0,0,0,0
320,239,0,2,4,2
321,239,0,0,0,0
322,239,0,0,0,0
323,239,0,0,0,0
324,238,1,1,0,-1
325,238,0,0,0,0
326,237,0,1,0,-1
327,237,1,2,2,0
328,237,0,0,0,0
329,237,0,0,0,0
330,237,0,0,0,0
331,237,0,0,0,0
332,236,1,1,0,-1
333,236,0,0,0,0
334,236,0,0,0,0
335,236,0,0,0,0
336,236,0,0,0,0
337,236,0,0,0,0
338,237,0,1,2,1
339,237,0,0,0,0
340,237,0,0,0,0
341,238,0,1,2,1
342,238,0,0,0,0
343,237,0,1,0,-1
344,237,0,0,0,0
345,237,0,0,0,0
346,237,0,0,0,0
347,237,0,0,0,0
348,237,0,0,0,0
349,237,0,0,0,0
350,237,0,0,0,0
351,237,0,0,0,0
352,237,0,0,0,0
353,237,0,0,0,0
354,237,0,0,0,0
355,237,0,0,0,0
356,237,0,0,0,0
357,237,0,0,0,0
358,237,0,0,0,0
359,237,0,0,0,0
360,238,0,1,2,1
361,238,0,0,0,0
362,238,0,0,0,0
363,238,0,0,0,0
364,238,0,0,0,0
365,238,0,0,0,0
366,238,0,0,0,0
367,238,0,0,0,0
368,238,0,0,0,0
369,238,0,0,0,0
370,237,1,1,0,-1
371,237,0,0,0,0
372,237,0,0,0,0
373,237,0,0,0,0
374,237,0,0,0,0
375,237,0,0,0,0
376,237,0,0,0,0
377,236,1,1,0,-1
378,236,0,0,0,0
379,236,0,0,0,0
380,236,0,0,0,0
381,237,1,3,4,1
382,237,0,0,0,0
383,237,0,0,0,0
384,237,0,0,0,0
385,237,0,0,0,0
386,237,0,0,0,0
387,236,1,1,0,-1
388,236,0,0,0,0
389,236,0,0,0,0
390,236,0,0,0,0
391,236,0,0,0,0
392,236,0,0,0,0
393,236,0,0,0,0
394,236,0,0,0,0
395,236,0,0,0,0
396,236,0,0,0,0
397,236,0,0,0,0
398,236,0,0,0,0
399,235,1,1,0,-1
400,235,0,0,0,0
401,235,0,0,0,0
402,234,1,1,0,-1
403,234,0,0,0,0
404,234,0,0,0,0
405,234,0,0,0,0
406,235,0,1,2,1
407,235,0,0,0,0
408,235,0,0,0,0
409,235,0,0,0,0
410,235,0,0,0,0
411,235,0,0,0,0
412,235,0,0,0,0
413,235,0,0,0,0
414,235,0,0,0,0
